feature,shap_importance
symptom_burden,0.24091921349363368
k_trend,0.22787673034911435
dyspnea_mean,0.20406436992339475
weight_change_total_kg,0.18270779190826208
weightkg_trend_3d,0.1665315511634012
exercise_trend,0.16111647641687146
bnp_trend,0.15149149995984515
weightkg_baseline_dev,0.13239098836480387
spo2_trend_3d,0.1294398852981619
ef,0.1262532756952694
dyspnea_trend,0.12209521172248293
symptom_reporting_rate,0.11418293339933386
weightkg_std_3d,0.11243679179536785
spo2_baseline_dev,0.11125041903068222
bnp_pct_change,0.1074712398354417
systolicbp_std_3d,0.10711735479005376
weight_change_total_pct,0.10182139079035993
spo2_baseline_pct_change,0.10022154751605107
creat_trend,0.09911477386073263
orthopnea_trend,0.09526008748615437
systolicbp_trend_3d,0.09411935545944305
creat_current,0.09255654766846369
bnp_change,0.09099323407559136
respiratoryrate_std_3d,0.08967769184145129
egfr,0.0852535220070488
k_current,0.08148653639801075
systolicbp_current,0.07961118056698231
respiratoryrate_baseline_pct_change,0.07546691913709098
bnp_current,0.0734429266716645
med_adherence_rate,0.07010418335014089
k_pct_change,0.06933803395752111
orthopnea_mean,0.06744007517119455
edema_mean,0.06625587923320146
respiratoryrate_trend_3d,0.06523100671303415
creat_change,0.06462062966775609
creat_pct_change,0.06226668292279262
diastolicbp_mean_3d,0.061560742284751196
age,0.06047502113737382
weightkg_baseline_pct_change,0.06007601523235671
exercise_current,0.056963849254235095
dyspnea_current,0.05519743619637363
k_change,0.053928771472827874
n_comorbidities,0.05361529089323654
spo2_std_3d,0.052851185056516474
systolicbp_baseline_pct_change,0.05187869799329347
heartrate_baseline_dev,0.050606921329840474
systolicbp_min_3d,0.04972465740223838
n_medications,0.04871121033810151
heartrate_max_3d,0.0464023800885276
heartrate_std_3d,0.04567462883950747
pulse_pressure,0.04506110894334914
heartrate_trend_3d,0.04503277189681716
weightkg_max_3d,0.04384376509105116
heartrate_mean_3d,0.04380916448963673
heartrate_baseline_pct_change,0.04364611697386887
exercise_mean,0.04268319728819672
respiratoryrate_mean_3d,0.042587829586877915
weightkg_mean_3d,0.041581807820666276
weightkg_min_3d,0.04081744565894552
systolicbp_baseline_dev,0.04007001962904685
spo2_max_3d,0.03981554007525594
spo2_mean_3d,0.03975364823013513
systolicbp_mean_3d,0.03957645340624022
diastolicbp_baseline_pct_change,0.038851811699645376
diastolicbp_baseline_dev,0.038538885690615574
systolicbp_max_3d,0.03815500760342156
weightkg_current,0.03801433881428863
spo2_min_3d,0.03786901794654648
rate_pressure_product,0.03757365699596369
heartrate_current,0.037123848616529176
edema_trend,0.03661073113301212
respiratoryrate_max_3d,0.03581887934278662
diastolicbp_std_3d,0.035799954728303024
weight_velocity_kg_per_measurement,0.034135319828411004
diastolicbp_trend_3d,0.032774277445179655
spo2_current,0.032414581723949946
diastolicbp_min_3d,0.028142773671967512
respiratoryrate_baseline_dev,0.026444048903930324
diastolicbp_current,0.02541267457275885
diastolicbp_max_3d,0.024755813627802277
orthopnea_current,0.021278168463820316
shock_index,0.020813361183811805
respiratoryrate_min_3d,0.01840778097468308
heartrate_min_3d,0.014898062703779667
respiratoryrate_current,0.013246402575170126
sex_male,0.01041497864628702
bnp_above_300,0.007220474524806376
ef_preserved,0.0053632022721595484
ef_reduced,0.0013269939689949373
k_abnormal,0.0010725472078025814
edema_current,0.0007432620753938693
symptom_reporting_rate_recent,0.0004945621567477634
creat_elevated,0.0004351517785605275
bnp_above_600,8.771851222848141e-05
days_since_last_report,0.0
nyha_class,0.0
bnp_above_900,0.0
ef_mid,0.0
