feature,shap_importance
weightkg_baseline_dev,0.26226538
weightkg_trend_3d,0.2403198
symptom_burden,0.21811856
exercise_trend,0.20461904
k_trend,0.19610326
weight_change_total_kg,0.19568528
bnp_trend,0.19064948
spo2_trend_3d,0.17632623
dyspnea_trend,0.15014899
weightkg_std_3d,0.13822414
orthopnea_trend,0.13773197
creat_trend,0.13606718
spo2_baseline_dev,0.1317134
weight_change_total_pct,0.13013855
dyspnea_mean,0.11895556
symptom_reporting_rate,0.11520262
ef,0.111261055
systolicbp_current,0.11012622
bnp_change,0.10671461
edema_mean,0.105351955
weight_velocity_kg_per_measurement,0.10078347
bnp_pct_change,0.10060559
heartrate_mean_3d,0.09602356
systolicbp_std_3d,0.09542984
creat_pct_change,0.09273943
k_pct_change,0.088098094
systolicbp_trend_3d,0.08598134
egfr,0.08532922
med_adherence_rate,0.082361266
k_current,0.08205819
bnp_current,0.08091667
spo2_std_3d,0.08011508
orthopnea_mean,0.07967133
spo2_baseline_pct_change,0.07906654
creat_current,0.07673813
diastolicbp_mean_3d,0.07628764
respiratoryrate_trend_3d,0.074388854
dyspnea_current,0.07290187
respiratoryrate_std_3d,0.07281351
heartrate_baseline_pct_change,0.068235844
respiratoryrate_baseline_pct_change,0.06819706
heartrate_current,0.06767582
n_medications,0.06613841
exercise_mean,0.06422296
edema_trend,0.063979685
heartrate_std_3d,0.06185759
heartrate_trend_3d,0.061784845
diastolicbp_std_3d,0.0615266
n_comorbidities,0.061425887
weightkg_baseline_pct_change,0.05892218
heartrate_baseline_dev,0.058882568
diastolicbp_current,0.05868129
diastolicbp_baseline_dev,0.057528883
spo2_min_3d,0.056931384
spo2_current,0.056657404
spo2_mean_3d,0.0559291
systolicbp_max_3d,0.055508655
diastolicbp_trend_3d,0.055430137
exercise_current,0.054394167
diastolicbp_baseline_pct_change,0.054230556
shock_index,0.052872565
weightkg_current,0.052331205
systolicbp_baseline_pct_change,0.051980186
systolicbp_baseline_dev,0.04928183
systolicbp_mean_3d,0.048631538
age,0.04784643
rate_pressure_product,0.047230154
respiratoryrate_mean_3d,0.045945182
weightkg_min_3d,0.04392979
weightkg_max_3d,0.043693878
respiratoryrate_max_3d,0.041903652
systolicbp_min_3d,0.039659504
weightkg_mean_3d,0.039608598
respiratoryrate_baseline_dev,0.03844517
pulse_pressure,0.034319986
diastolicbp_max_3d,0.034047183
heartrate_max_3d,0.03344821
spo2_max_3d,0.03300557
heartrate_min_3d,0.028738648
diastolicbp_min_3d,0.02676733
creat_change,0.024773166
respiratoryrate_current,0.01999047
respiratoryrate_min_3d,0.016001465
orthopnea_current,0.015847133
bnp_above_300,0.013944296
sex_male,0.01134441
k_change,0.009885162
ef_mid,0.003975051
ef_reduced,0.003728343
k_abnormal,0.0026085968
symptom_reporting_rate_recent,0.0019355188
creat_elevated,0.0016212605
edema_current,0.0013153435
days_since_last_report,0.00083772844
ef_preserved,0.00026937886
bnp_above_600,0.00020271885
nyha_class,0.0
bnp_above_900,0.0
