feature,shap_importance
heartrate_min_3d,0.6172449890194902
creat_current,0.30828213378949526
k_trend,0.28282010710278027
egfr,0.2711826044671764
days_since_last_report,0.24866201237021404
spo2_baseline_pct_change,0.2280218996661525
creat_trend,0.2179063020879368
diastolicbp_std_3d,0.17354507162196087
spo2_trend_3d,0.15905252419978297
k_change,0.14870454600530522
respiratoryrate_current,0.13754871199593796
respiratoryrate_mean_3d,0.13395360242440127
pulse_pressure,0.131508535051821
spo2_mean_3d,0.12561056622291475
spo2_max_3d,0.12057161993684036
spo2_baseline_dev,0.10598252396572552
systolicbp_std_3d,0.0988241334842344
respiratoryrate_std_3d,0.09736802891621728
creat_pct_change,0.07990606843824599
diastolicbp_max_3d,0.06649507327922137
weightkg_max_3d,0.06571560115585519
spo2_std_3d,0.06527088493697261
spo2_min_3d,0.061169672294147125
systolicbp_trend_3d,0.0609171349270199
bnp_current,0.05925329016719675
k_pct_change,0.05367119654430052
k_abnormal,0.05221532496475816
age,0.05000500364975608
respiratoryrate_max_3d,0.04827635381164114
heartrate_baseline_dev,0.04599917779641615
heartrate_baseline_pct_change,0.042872074166442946
heartrate_std_3d,0.042152857060544946
weightkg_current,0.0403869854291546
heartrate_max_3d,0.036500719721050075
heartrate_mean_3d,0.035278549996053954
systolicbp_baseline_dev,0.03399935715740839
weightkg_mean_3d,0.03374111675266629
diastolicbp_mean_3d,0.032475054010165066
respiratoryrate_baseline_dev,0.029710894426635485
respiratoryrate_min_3d,0.025311044931521132
diastolicbp_min_3d,0.024615751613548956
respiratoryrate_baseline_pct_change,0.022350164939776446
heartrate_current,0.021167485213374936
systolicbp_max_3d,0.018028685867196907
spo2_current,0.017639996674583217
systolicbp_current,0.017065515836158916
systolicbp_baseline_pct_change,0.016522479524695786
systolicbp_min_3d,0.0156343137987714
systolicbp_mean_3d,0.01411752401652179
shock_index,0.008625874235343787
rate_pressure_product,0.0054080844241294
heartrate_trend_3d,0.004917052465384661
k_current,0.004665115286468624
diastolicbp_trend_3d,0.00435326443669233
weightkg_min_3d,0.0037913045572504794
weightkg_std_3d,0.0035539324987684385
respiratoryrate_trend_3d,0.0027280506318607296
diastolicbp_current,0.0017161656872987905
weight_change_total_kg,0.0016212367439434076
diastolicbp_baseline_pct_change,0.001478342814297182
bnp_pct_change,0.0012906243950887
diastolicbp_baseline_dev,0.00051790006536522
weightkg_trend_3d,0.0005066593423632222
bnp_change,0.0003457382690293192
creat_change,0.00016624685669951642
weightkg_baseline_dev,7.828357565136938e-05
weight_change_total_pct,6.768275263858814e-05
weightkg_baseline_pct_change,2.534542242487861e-05
exercise_trend,0.0
symptom_burden,0.0
med_adherence_rate,0.0
exercise_mean,0.0
n_medications,0.0
sex_male,0.0
ef,0.0
nyha_class,0.0
n_comorbidities,0.0
edema_trend,0.0
ef_reduced,0.0
ef_mid,0.0
exercise_current,0.0
dyspnea_current,0.0
edema_mean,0.0
edema_current,0.0
orthopnea_trend,0.0
orthopnea_mean,0.0
orthopnea_current,0.0
dyspnea_trend,0.0
dyspnea_mean,0.0
symptom_reporting_rate_recent,0.0
symptom_reporting_rate,0.0
creat_elevated,0.0
bnp_above_900,0.0
bnp_above_600,0.0
bnp_above_300,0.0
bnp_trend,0.0
weight_velocity_kg_per_measurement,0.0
ef_preserved,0.0
