feature,shap_importance
heartrate_min_3d,0.4714895
diastolicbp_std_3d,0.39228487
creat_current,0.26061267
days_since_last_report,0.25217783
creat_trend,0.24615224
k_trend,0.20189379
k_pct_change,0.20125364
spo2_trend_3d,0.1886118
egfr,0.18538886
spo2_max_3d,0.18506753
k_change,0.15680535
respiratoryrate_mean_3d,0.13483608
heartrate_mean_3d,0.12783228
heartrate_baseline_pct_change,0.124965996
respiratoryrate_std_3d,0.120344326
heartrate_baseline_dev,0.10845202
spo2_baseline_dev,0.10268119
systolicbp_std_3d,0.10202548
spo2_baseline_pct_change,0.10182205
bnp_current,0.09754247
age,0.09345995
diastolicbp_max_3d,0.08811441
spo2_mean_3d,0.082724825
bnp_change,0.08092555
heartrate_current,0.079590194
spo2_min_3d,0.07314319
systolicbp_mean_3d,0.067710266
systolicbp_baseline_pct_change,0.06391059
weightkg_max_3d,0.06277766
k_abnormal,0.05911992
k_current,0.05427344
respiratoryrate_max_3d,0.05269344
respiratoryrate_trend_3d,0.048719097
respiratoryrate_baseline_dev,0.047728978
heartrate_std_3d,0.046931792
respiratoryrate_baseline_pct_change,0.041794173
systolicbp_min_3d,0.039785236
spo2_std_3d,0.03961014
creat_pct_change,0.039166704
weightkg_mean_3d,0.03792057
diastolicbp_mean_3d,0.037660446
respiratoryrate_current,0.03735038
sex_male,0.034496885
shock_index,0.0339191
weightkg_current,0.031330522
bnp_pct_change,0.030295497
pulse_pressure,0.029890873
systolicbp_current,0.025836049
diastolicbp_min_3d,0.025196875
systolicbp_trend_3d,0.022900227
diastolicbp_baseline_pct_change,0.020819258
heartrate_max_3d,0.020787604
bnp_trend,0.018350197
creat_change,0.017251533
systolicbp_baseline_dev,0.01568749
heartrate_trend_3d,0.014941792
respiratoryrate_min_3d,0.014211698
weight_change_total_kg,0.012637381
creat_elevated,0.011227078
spo2_current,0.010645272
weightkg_min_3d,0.01016764
systolicbp_max_3d,0.009300191
bnp_above_600,0.009111881
weightkg_std_3d,0.008429762
diastolicbp_baseline_dev,0.006935123
diastolicbp_trend_3d,0.005228029
weightkg_baseline_dev,0.0048265904
diastolicbp_current,0.004714524
rate_pressure_product,0.0036137959
weight_change_total_pct,0.003305144
weightkg_baseline_pct_change,0.0032117884
weightkg_trend_3d,0.0010461935
bnp_above_900,0.0
exercise_mean,0.0
ef_mid,0.0
ef_reduced,0.0
n_medications,0.0
n_comorbidities,0.0
nyha_class,0.0
ef,0.0
med_adherence_rate,0.0
symptom_burden,0.0
exercise_trend,0.0
exercise_current,0.0
bnp_above_300,0.0
edema_trend,0.0
edema_mean,0.0
edema_current,0.0
orthopnea_trend,0.0
orthopnea_mean,0.0
orthopnea_current,0.0
dyspnea_trend,0.0
dyspnea_mean,0.0
dyspnea_current,0.0
symptom_reporting_rate_recent,0.0
symptom_reporting_rate,0.0
weight_velocity_kg_per_measurement,0.0
ef_preserved,0.0
